airline,overall_rating,review_date,traveller_type,cabin,departure_date,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,1,19-11-2018,Solo Leisure,Economy Class,01-11-2018,2,2,1,1,1,1,no
Turkish Airlines,8,17-11-2018,Solo Leisure,Economy Class,01-10-2018,4,5,5,4,3,5,yes
Turkish Airlines,1,16-11-2018,Family Leisure,Economy Class,01-10-2018,2,2,2,2,1,1,no
Turkish Airlines,4,15-11-2018,Business,Economy Class,01-11-2018,3,3,4,4,3,2,no
Turkish Airlines,1,14-11-2018,Solo Leisure,Economy Class,01-10-2018,1,2,3,3,1,1,no
Turkish Airlines,7,10-11-2018,Solo Leisure,Business Class,01-11-2018,4,5,5,5,2,5,yes
Turkish Airlines,9,08-11-2018,Solo Leisure,Business Class,01-11-2018,5,5,4,3,5,5,yes
Turkish Airlines,2,08-11-2018,Family Leisure,Economy Class,01-11-2018,1,1,1,1,2,2,no
Turkish Airlines,3,31-10-2018,Solo Leisure,Economy Class,01-10-2018,2,2,4,3,1,3,no
Turkish Airlines,7,28-10-2018,Couple Leisure,Economy Class,01-10-2018,3,3,3,5,3,4,yes
Turkish Airlines,9,20-10-2018,Business,Business Class,01-10-2018,4,4,5,4,3,4,yes
Turkish Airlines,1,19-10-2018,Solo Leisure,Economy Class,01-10-2018,1,2,3,3,2,1,no
Turkish Airlines,1,17-10-2018,Family Leisure,Economy Class,01-10-2018,1,1,1,1,1,1,no
Turkish Airlines,9,16-10-2018,Couple Leisure,Economy Class,01-10-2018,4,5,4,5,5,4,yes
Turkish Airlines,9,14-10-2018,Solo Leisure,Economy Class,01-09-2018,4,5,5,4,5,4,yes
Turkish Airlines,1,13-10-2018,Couple Leisure,Economy Class,01-10-2018,1,1,1,1,1,1,no
Turkish Airlines,1,12-10-2018,Couple Leisure,Economy Class,01-10-2018,1,1,1,1,1,1,no
Turkish Airlines,9,11-10-2018,Couple Leisure,Economy Class,01-09-2018,3,5,5,5,4,4,yes
Turkish Airlines,5,11-10-2018,Business,Economy Class,01-08-2018,4,5,4,5,1,4,no
Turkish Airlines,1,08-10-2018,Solo Leisure,Economy Class,01-09-2018,3,3,3,3,1,2,no
Turkish Airlines,4,06-10-2018,Business,Economy Class,01-10-2018,3,3,3,4,1,3,no
Turkish Airlines,3,28-09-2018,Business,Business Class,01-09-2018,1,3,3,2,1,2,no
Turkish Airlines,1,26-09-2018,Couple Leisure,Economy Class,01-09-2018,2,3,3,1,1,1,no
Turkish Airlines,2,24-09-2018,Business,Economy Class,01-09-2018,1,2,3,4,3,3,no
Turkish Airlines,9,23-09-2018,Couple Leisure,Economy Class,01-09-2018,5,5,4,5,4,5,yes
Turkish Airlines,9,22-09-2018,Couple Leisure,Business Class,01-09-2018,4,4,4,4,3,5,yes
Turkish Airlines,1,20-09-2018,Couple Leisure,Economy Class,01-09-2018,2,4,4,4,1,1,no
Turkish Airlines,3,18-09-2018,Couple Leisure,Economy Class,01-08-2018,3,3,3,3,1,3,no
Turkish Airlines,1,18-09-2018,Family Leisure,Economy Class,01-09-2018,1,1,1,1,1,1,no
Turkish Airlines,9,18-09-2018,Family Leisure,Economy Class,01-09-2018,4,3,3,3,4,4,yes
Turkish Airlines,7,17-09-2018,Family Leisure,Business Class,01-04-2018,4,4,4,3,4,3,yes
Turkish Airlines,1,15-09-2018,Couple Leisure,Economy Class,01-09-2018,4,4,4,4,1,3,no
Turkish Airlines,1,13-09-2018,Business,Business Class,01-09-2018,3,3,3,3,1,2,no
Turkish Airlines,10,12-09-2018,Family Leisure,Economy Class,01-09-2018,4,5,3,5,4,5,yes
Turkish Airlines,1,11-09-2018,Solo Leisure,Economy Class,01-09-2018,3,1,4,3,1,2,no
Turkish Airlines,7,10-09-2018,Solo Leisure,Business Class,01-07-2018,3,4,4,4,3,4,yes
Turkish Airlines,3,09-09-2018,Family Leisure,Economy Class,01-09-2018,4,1,3,5,1,3,no
Turkish Airlines,7,09-09-2018,Solo Leisure,Business Class,01-09-2018,3,5,2,4,1,4,yes
Turkish Airlines,5,09-09-2018,Couple Leisure,Business Class,01-08-2018,4,3,4,3,1,3,yes
Turkish Airlines,6,07-09-2018,Solo Leisure,Business Class,01-08-2018,3,4,5,3,4,3,yes
Turkish Airlines,10,05-09-2018,Solo Leisure,Economy Class,01-08-2018,5,5,5,5,5,5,yes
Turkish Airlines,2,04-09-2018,Solo Leisure,Economy Class,01-03-2018,1,2,4,2,1,3,no
Turkish Airlines,6,04-09-2018,Couple Leisure,Business Class,01-08-2018,4,4,4,4,2,4,yes
Turkish Airlines,1,04-09-2018,Solo Leisure,Economy Class,01-08-2018,1,1,1,1,1,1,no
Turkish Airlines,2,03-09-2018,Solo Leisure,Economy Class,01-08-2018,2,4,2,3,1,3,no
Turkish Airlines,1,03-09-2018,Solo Leisure,Economy Class,01-08-2018,2,3,3,3,1,1,no
Turkish Airlines,1,02-09-2018,Solo Leisure,Economy Class,01-08-2018,2,2,1,1,1,2,no
Turkish Airlines,7,30-08-2018,Couple Leisure,Economy Class,01-08-2018,4,3,4,3,3,5,yes
Turkish Airlines,1,30-08-2018,Family Leisure,Economy Class,01-08-2018,3,1,2,2,1,1,no
Turkish Airlines,2,26-08-2018,Solo Leisure,Economy Class,01-08-2018,3,3,3,4,2,2,no
